Language,Library,System,Compiler,VariabilityMisc,EqualityCheck,NumberGenerations,Repeat,min,max,std,mean
C++,,,g++,seed None,associativity,100,100,63.0,84.0,3.9142176740697496,74.83
C++,,,clang++,seed None,associativity,100,100,63.0,84.0,4.279018579066934,74.5
C++,,,g++,seed None,mult-inverse,100,100,57.0,75.0,4.041423016710822,65.13
C++,,,clang++,seed None,mult-inverse,100,100,55.0,77.0,4.624662149822407,65.15
C++,,,g++,seed None,mult-inverse-pi,100,100,42.0,69.0,5.081574559130271,53.24
C++,,,clang++,seed None,mult-inverse-pi,100,100,43.0,68.0,4.812733111237315,53.24
C++,,,g++,seed 42,associativity,100,100,76.0,76.0,0.0,76.0
C++,,,clang++,seed 42,associativity,100,100,76.0,76.0,0.0,76.0
C++,,,g++,seed 42,mult-inverse,100,100,71.0,71.0,0.0,71.0
C++,,,clang++,seed 42,mult-inverse,100,100,71.0,71.0,0.0,71.0
C++,,,g++,seed 42,mult-inverse-pi,100,100,59.0,59.0,0.0,59.0
C++,,,clang++,seed 42,mult-inverse-pi,100,100,59.0,59.0,0.0,59.0
Ocaml,,,,seed 42,associativity,100,100,72.0,72.0,0.0,72.0
Ocaml,,,,seed 42,mult-inverse,100,100,76.0,76.0,0.0,76.0
Ocaml,,,,seed 42,mult-inverse-pi,100,100,54.0,54.0,0.0,54.0
Ocaml,,,,seed None,associativity,100,100,64.0,86.0,4.51171807629865,75.38
Ocaml,,,,seed None,mult-inverse,100,100,53.0,76.0,4.918322884886677,65.01
Ocaml,,,,seed None,mult-inverse-pi,100,100,40.0,67.0,4.5264887053874325,53.97
Swift,,,,,associativity,100,100,67.0,83.0,4.076812480357662,74.14
Swift,,,,,mult-inverse,100,100,52.0,78.0,4.916696045109967,65.81
Swift,,,,,mult-inverse-pi,100,100,44.0,64.0,4.375054285377497,54.33
Scala,,,,,Associativity,100,100,77.0,77.0,0.0,77.0
Scala,,,,,MultInv,100,100,64.0,64.0,0.0,64.0
Scala,,,,,MultInvPi,100,100,54.0,54.0,0.0,54.0
Bash,,,,,associativity,100,100,100.0,100.0,0.0,100.0
Bash,,,,,mult_inverse,100,100,100.0,100.0,0.0,100.0
Bash,,,,,mult_inverse_pi,100,100,29.0,52.0,4.998909881164092,40.03
LISP,,,,,associativity,42000,100,100.0,100.0,0.0,100.0
JavaScript,,,,global seed,associativity,100,100,68.0,68.0,0.0,68.0
JavaScript,,,,global seed,mult_inverse,100,100,60.0,60.0,0.0,60.0
JavaScript,,,,global seed,mult_inverse_pi,100,100,59.0,59.0,0.0,59.0
JavaScript,,,,no global seed,associativity,100,100,100.0,100.0,0.0,100.0
JavaScript,,,,no global seed,mult_inverse,100,100,49.0,76.0,4.877745380808637,66.26
JavaScript,,,,no global seed,mult_inverse_pi,100,100,41.0,64.0,4.816886961513629,53.76
Rust,,,,--error_margin 0.000000000000001,associativity,100,100,53.0,56.0,0.5979966555090422,54.68
Rust,,,,--error_margin 0.000000000000001,mult_inverse,100,100,97.0,98.0,0.39230090491866065,97.19
Rust,,,,--error_margin 0.000000000000001,mult_inverse_pi,100,100,96.0,97.0,0.48,96.64
Rust,,,,(no error margin ie pure equality),associativity,100,100,74.0,76.0,0.47958315233127197,74.7
Rust,,,,(no error margin ie pure equality),mult_inverse,100,100,63.0,66.0,0.5567764362830022,64.7
Rust,,,,(no error margin ie pure equality),mult_inverse_pi,100,100,52.0,55.0,0.51720402163943,53.15
C,custom,Linux,gcc,-DCUSTOM=1 -DOLD_MAIN_C=1,associativity,100,100,77.0,77.0,0.0,77.0
C,custom,Linux,gcc,-DCUSTOM=1 ,associativity,100,100,77.0,77.0,0.0,77.0
C,(srand48+drand48),Linux,gcc, -DOLD_MAIN_C=1,associativity,100,100,100.0,100.0,0.0,100.0
C,(srand48+drand48),Linux,gcc, ,associativity,100,100,100.0,100.0,0.0,100.0
C,custom,Windows (with wine and cross-compilation),i686-w64-mingw32-gcc,-DWIN=1 -DCUSTOM=1 -DOLD_MAIN_C=1,associativity,100,100,100.0,100.0,0.0,100.0
C,custom,Windows (with wine and cross-compilation),i686-w64-mingw32-gcc,-DWIN=1 -DCUSTOM=1 ,associativity,100,100,100.0,100.0,0.0,100.0
C,(srand+rand),Windows (with wine and cross-compilation),i686-w64-mingw32-gcc,-DWIN=1 -DOLD_MAIN_C=1,associativity,100,100,100.0,100.0,0.0,100.0
C,(srand+rand),Windows (with wine and cross-compilation),i686-w64-mingw32-gcc,-DWIN=1 ,associativity,100,100,100.0,100.0,0.0,100.0
C,custom,Linux,clang,-DCUSTOM=1 -DOLD_MAIN_C=1,associativity,100,100,77.0,77.0,0.0,77.0
C,custom,Linux,clang,-DCUSTOM=1 ,associativity,100,100,77.0,77.0,0.0,77.0
C,(srand48+drand48),Linux,clang, -DOLD_MAIN_C=1,associativity,100,100,100.0,100.0,0.0,100.0
C,(srand48+drand48),Linux,clang, ,associativity,100,100,100.0,100.0,0.0,100.0
C,custom,Linux (no cross-compilation with clang),clang,-DWIN=1 -DCUSTOM=1 -DOLD_MAIN_C=1,associativity,100,100,100.0,100.0,0.0,100.0
